schedule_id,day_id,activity_id,raw_activity,raw_time,weekday,start,duration
1,3,1,Lane swim,6 - 7 pm,tu,1080,60
1,5,1,Lane swim,6 - 7 pm,th,1080,60
1,7,1,Lane swim,Noon - 1 pm,sa,720,60
1,1,1,Lane swim,Noon - 1 pm,su,720,60
1,2,2,Public swim,4 - 7 pm,mo,960,180
1,3,2,Public swim,4 - 6 pm,tu,960,120
1,4,2,Public swim,4 - 7 pm,we,960,180
1,5,2,Public swim,4 - 6 pm,th,960,120
1,6,2,Public swim,4 - 7 pm,fr,960,180
1,7,2,Public swim,1 - 5 pm,sa,780,240
1,1,2,Public swim,1 - 5 pm,su,780,240
1,7,3,Preschool swim - children's pool,Noon - 1 pm,sa,720,60
1,1,3,Preschool swim - children's pool,Noon - 1 pm,su,720,60
2,7,4,Figure skating,9 to 9:50 pm,sa,1260,50
2,4,5,Ringette (10 to 14 years),5 - 5:50 pm,we,1020,50
3,4,6,Public skating,4 - 4:50 pm,we,960,50
3,7,6,Public skating,8 - 8:50 pm,sa,1200,50
4,2,7,Aqua general deep,8 - 9 am,mo,480,60
4,2,7,Aqua general deep,9 - 10 am,mo,540,60
4,2,7,Aqua general deep,7:30 - 8:30 pm,mo,1170,60
4,3,7,Aqua general deep,8 - 9 am,tu,480,60
4,3,7,Aqua general deep,9 - 10 am,tu,540,60
4,4,7,Aqua general deep,8 - 9 am,we,480,60
4,4,7,Aqua general deep,9 - 10 am,we,540,60
4,5,7,Aqua general deep,8 - 9 am,th,480,60
4,5,7,Aqua general deep,9 - 10 am,th,540,60
4,6,7,Aqua general deep,8 - 9 am,fr,480,60
4,6,7,Aqua general deep,9 - 10 am,fr,540,60
4,7,7,Aqua general deep,8 - 9 am,sa,480,60
4,2,8,Aqua general shallow,8 - 9 am,mo,480,60
4,2,8,Aqua general shallow,9 - 10 am,mo,540,60
4,2,8,Aqua general shallow,7:30 - 8:30 pm,mo,1170,60
4,3,8,Aqua general shallow,8 - 9 am,tu,480,60
4,3,8,Aqua general shallow,9 - 10 am,tu,540,60
4,4,8,Aqua general shallow,8 - 9 am,we,480,60
4,5,8,Aqua general shallow,8 - 9 am,th,480,60
4,5,8,Aqua general shallow,9 - 10 am,th,540,60
4,6,8,Aqua general shallow,8 - 9 am,fr,480,60
4,6,8,Aqua general shallow,9 - 10 am,fr,540,60
4,7,8,Aqua general shallow,8 - 9 am,sa,480,60
4,1,8,Aqua general shallow,8 - 9 am,su,480,60
4,2,9,Aqua general - therapeutic pool,7 - 8 am,mo,420,60
4,3,9,Aqua general - therapeutic pool,7 - 8 am,tu,420,60
4,4,9,Aqua general - therapeutic pool,7 - 8 am,we,420,60
4,5,9,Aqua general - therapeutic pool,7 - 8 am,th,420,60
4,6,9,Aqua general - therapeutic pool,7 - 8 am,fr,420,60
4,2,10,Aqua lite - therapeutic pool,1 - 2 pm,mo,780,60
4,3,10,Aqua lite - therapeutic pool,1 - 2 pm,tu,780,60
4,4,10,Aqua lite - therapeutic pool,1 - 2 pm,we,780,60
4,5,10,Aqua lite - therapeutic pool,1 - 2 pm,th,780,60
4,2,1,Lane swim,6 - 8 am,mo,360,120
4,2,1,Lane swim,11 am - 1 pm,mo,660,120
4,3,1,Lane swim,10 am - 1 pm,tu,600,180
4,3,1,Lane swim,9 - 10 pm,tu,1260,60
4,4,1,Lane swim,6 - 8 am,we,360,120
4,4,1,Lane swim,10 am - 1 pm,we,600,180
4,5,1,Lane swim,10 am - 1 pm,th,600,180
4,5,1,Lane swim,9:30 -10:30 pm,th,1290,60
4,6,1,Lane swim,6 - 8 am,fr,360,120
4,6,1,Lane swim,11 am - 1 pm,fr,660,120
4,5,11,Public swim - 25 metre pool only,2 - 4 pm,th,840,120
4,6,11,Public swim - 25 metre pool only,7:30 - 8:30 pm,fr,1170,60
4,7,11,Public swim - 25 metre pool only,1:30 - 4 pm,sa,810,150
4,1,11,Public swim - 25 metre pool only,1:30 - 4 pm,su,810,150
4,3,12,Public swim - therapeutic pool,10 - 11 am,tu,600,60
4,5,12,Public swim - therapeutic pool,10 - 11 am,th,600,60
4,6,12,Public swim - therapeutic pool,7:30 - 8:30 pm,fr,1170,60
4,7,12,Public swim - therapeutic pool,2:30 - 4 pm,sa,870,90
4,1,12,Public swim - therapeutic pool,1:30 - 4 pm,su,810,150
5,2,13,Weight and cardio room,6 am - 9 pm,mo,360,900
5,3,13,Weight and cardio room,6 am - 9 pm,tu,360,900
5,4,13,Weight and cardio room,6 am - 9 pm,we,360,900
5,5,13,Weight and cardio room,6 am - 9 pm,th,360,900
5,6,13,Weight and cardio room,6 am - 9 pm,fr,360,900
