id,schedule_group_id,schedule_caption,schedule_caption_raw,schedule_caption_date_raw,schedule_date_from,schedule_date_to
1,2,bearbrook outdoor pool - swim,Bearbrook Outdoor Pool - swim - August 25 to September 14,August 25 to September 14,8250,9140
2,3,ice sports,"Bell Centennial Arena - ice sports - September 3, 2025 to March 22, 2026","September 3, 2025 to March 22, 2026",202509030,202603220
3,4,skating,"Bell Centennial Arena - skating - September 3, 2025, to March 22, 2026","September 3, 2025, to March 22, 2026",202509030,202603220
4,5,swimming and aquafit,Bob MacQuarrie Recreation Complex - swimming and aquafit - September 22 to December 21,September 22 to December 21,9220,12210
5,6,weight and cardio room,Bob MacQuarrie Recreation Complex - Orléans - weight and cardio room,,0,0
6,7,group fitness,Bob MacQuarrie Recreation Complex - Orléans - group fitness - September 8 to December 21,September 8 to December 21,9080,12210
7,8,racquet sports,Bob MacQuarrie Recreation Complex - Orléans - racquet sports,,0,0
8,9,orléans - skating,"Bob MacQuarrie Recreation Complex-Orléans - Skating - September 3, 2025 to March 29, 2026","September 3, 2025 to March 29, 2026",202509030,202603290
9,10,swim and aquafit,Brewer Pool - swim and aquafit - September 2 to November 2,September 2 to November 2,9020,11020
10,11,brewer arena - skating,"Brewer Arena - skating - September 6, 2025 to March 29, 2026","September 6, 2025 to March 29, 2026",202509060,202603290
11,12,swim and aquafit,Canterbury Recreation Complex - swim and aquafit - September 2 to November 1,September 2 to November 1,9020,11010
12,13,sports,Canterbury Recreation Complex - sports - September 2 to December 19,September 2 to December 19,9020,12190
13,14,brian kilrea arena - skating,Brian Kilrea Arena - skating - September 2 to December 19,September 2 to December 19,9020,12190
14,15,goulbourn - swim and aquafit,CARDELREC Recreation Complex - Goulbourn - swim and aquafit - September 2 to December 19,September 2 to December 19,9020,12190
15,16,weight and cardio room,CARDELREC Recreation Complex Goulbourn - weight and cardio room,,0,0
16,17,group fitness,CARDELREC Recreation Complex Goulbourn - group fitness - September 2 to December 23,September 2 to December 23,9020,12230
17,18,racquet sports,CARDELREC Recreation Complex Goulbourn - racquet sports - September 2 to December 23,September 2 to December 23,9020,12230
18,19,sports,CARDELREC Recreation Complex Goulbourn - sports - September 2 to December 23,September 2 to December 23,9020,12230
19,20,skating,"CARDELREC Recreation Complex Goulbourn - skating - September 1, 2025 to March 28, 2026","September 1, 2025 to March 28, 2026",202509010,202603280
20,21,older adult activities,Carleton Heights Community Centre - older adult activities - June 1 to August 31,June 1 to August 31,6010,8310
21,22,swim,Champagne Fitness Centre - swim - September 2 to January 4,September 2 to January 4,9020,1040
22,23,weight and cardio room,Champagne Fitness Centre - weight and cardio room - September 2 to January 4,September 2 to January 4,9020,1040
23,24,,Churchill Seniors Centre,,0,0
24,26,swim,Deborah Anne Kirwan Pool - swim - September 15 to December 21,September 15 to December 21,9150,12210
25,28,weight and cardio room,Diane Deans Greenboro Community Centre - weight and cardio room - September 2 to December 21,September 2 to December 21,9020,12210
26,29,group fitness,Diane Deans Greenboro Community Centre - group fitness - September 2 to December 21,September 2 to December 21,9020,12210
27,30,racquet sports,Diane Deans Greenboro Community Centre - racquet sports - September 15 to December 21,September 15 to December 21,9150,12210
28,31,sports,Diane Deans Greenboro Community Centre - sports - September 15 to December 21,September 15 to December 21,9150,12210
29,32,ice sports,"Earl Armstrong Arena - ice sports - September 11, 2025 to April 9, 2026","September 11, 2025 to April 9, 2026",202509110,202604090
30,33,skating,"Earl Armstrong Arena - skating - September 11, 2025 to April 9, 2026","September 11, 2025 to April 9, 2026",202509110,202604090
31,34,entrance outdoor pool - swim,Entrance Outdoor Pool - swim - September 2 to 9,September 2 to 9,9020,9090
32,35,racquet sports,Eva James Memorial Community Centre - racquet sports - September 8 to October 5,September 8 to October 5,9080,10050
33,35,racquet sports,Eva James Memorial Community Centre - racquet sports - October 6 to December 19,October 6 to December 19,10060,12190
34,36,sports,Eva James Memorial Community Centre - sports - September 8 to December 19,September 8 to December 19,9080,12190
35,37,francois dupuis recreation centre - swim and aquafit,Francois Dupuis Recreation Centre - swim and aquafit - September 8 to December 21,September 8 to December 21,9080,12210
36,38,weight and cardio room,François Dupuis Recreation Centre - weight and cardio room,,0,0
37,39,group fitness,François Dupuis Recreation Centre - Group fitness schedule - September 2 to December 21,September 2 to December 21,9020,12210
38,40,racquet sports,François Dupuis Recreation Centre - racquet sports - September 2 to December 21,September 2 to December 21,9020,12210
39,41,sports,François Dupuis Recreation Centre - sports - September 2 to December 21,September 2 to December 21,9020,12210
40,42,skating,"Fred Barrett Arena - skating - September 9, 2025, to March 15, 2026","September 9, 2025, to March 15, 2026",202509090,202603150
41,43,ice sports,"Fred Barrett Arena - ice sports - September 9, 2025, to March 15, 2026","September 9, 2025, to March 15, 2026",202509090,202603150
42,44,general burns outdoor pool - swim and aquafit,General Burns outdoor pool - swim and aquafit - September 9 to 14,September 9 to 14,9090,9140
43,44,general burns outdoor pool - swim,General Burns outdoor pool - swim - September 15 to October 3,September 15 to October 3,9150,10030
44,45,swim,Glen Cairn Pool - swim - September 2 to 14,September 2 to 14,9020,9140
45,46,racquet sports,Hintonburg Community Centre - racquet sports - September 2 to December 21,September 2 to December 21,9020,12210
46,47,sports,Hintonburg Community Centre - sports - September 2 to December 21,September 2 to December 21,9020,12210
47,48,skating,"Howard Darwin Centennial Arena - skating - September 5, 2025, to March 22, 2026","September 5, 2025, to March 22, 2026",202509050,202603220
48,49,skating,"Howard Darwin Centennial Arena - skating - September 5, 2025, to March 22, 2026","September 5, 2025, to March 22, 2026",202509050,202603220
49,50,weight and cardio room,Hunt Club-Riverside Park Community Centre - weight and cardio room,,0,0
