id,facility_id,schedule_group_name,schedule_group_name_raw,schedule_changes_html
1,2,Racquet Sports,Drop-in schedule - racquet sports,
2,10,Ice Sports,Drop-in schedule - ice sports,
3,10,Skating,Drop-in schedule - skating,
4,16,Swim And Aquafit,Drop-in schedule - swim and aquafit,
5,16,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
6,16,Group Fitness,Drop-in schedule - group fitness,
7,16,Racquet Sports,Drop-in schedule - racquet sports,
8,16,Skating,Drop-in schedule - skating,
9,17,Swim And Aquafit,Drop-in schedule - Swim and aquafit,
10,17,Skating,Drop-in schedule - skating,
11,19,Swim And Aquafit,Drop-in schedule - swim and aquafit,
12,19,Sports,Drop-in schedule - sports,
13,19,Skating,Drop-in schedule - skating,
14,20,Swim And Aquafit,Drop-in schedule - swim and aquafit,
15,20,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
16,20,Group Fitness,Drop-in schedule - group fitness,"<ul> <li><strong>Thursday, September 25</strong> <ul> <li>Indoor cycling, 6:15 to 7:15 pm, cancelled</li> </ul> </li> <li><strong>Friday, September 26</strong> <ul> <li><span>Cardio and Strength 50+, 11:30 am to 12:30 pm, cancelled</span></li> </ul> </li> </ul>"
17,20,Racquet Sports,Drop-in schedule - racquet sports,
18,20,Sports,Drop-in schedule - sports,
19,20,Skating,Drop-in schedule - skating,
20,23,Swim,Drop-in schedule - swim,
21,23,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
22,26,Drop-In Activities,Drop-in activities,
23,30,Visit The Museum On A Field Trip,Visit the museum on a field trip,
24,31,Swim And Aquafit,Drop-in schedule - swim and aquafit,
25,32,Racquet Sports,Drop-in schedule - racquet sports,
26,33,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
27,33,Group Fitness,Drop-in schedule - group fitness,
28,33,Racquet Sports,Drop-in schedule - racquet sports,
29,33,Sports,Drop-in schedule - sports,
30,35,Ice Sports,Drop-in schedule - ice sports,
31,35,Skating,Drop-in schedule - skating,
32,37,Racquet Sports,Drop-in schedule - racquet sports,
33,37,Sports,Drop-in schedule - sports,
34,42,Swim And Aquafit,Drop-in schedule - swim and aquafit,
35,42,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
36,42,Group Fitness,Drop-in schedule - group fitness,
37,42,Racquet Sports,Drop-in schedule - racquet sports,
38,42,Sports,Drop-in schedule - sports,
39,43,Skating,Drop-in schedule - skating,
40,43,Ice Sports,Drop-in schedule - ice sports,
41,44,Swim,Drop-in schedule - swim,"<ul> <li><strong>Thursday, September 25</strong> <ul> <li>Temporary closure at 3:30 pm. Reopening tomorrow.</li> </ul> </li> </ul>"
42,51,Older Adult Activities,Drop-in schedule - older adult activities,
43,52,Racquet Sports,Drop-in schedule - racquet sports,
44,52,Sports,Drop-in schedule - sports,
45,53,Ice Sports,Drop-in schedule - ice sports,
46,53,Skating,Drop-in schedule - skating,
47,54,Weight And Cardio Room,Drop-in schedule - Weight and cardio room,
48,54,Group Fitness,Drop-in schedule - Group fitness,
49,54,Racquet Sports,Drop-in schedule - Racquet sports,"<ul> <li><strong>Monday, September 29</strong> <ul> <li>All pickleball, cancelled</li> </ul> </li> </ul>"
50,54,Sports,Drop-in schedule - Sports,
51,55,Skating,Drop-in schedule - skating,
52,56,Skating,Drop-in schedule - skating,
53,57,Swim And Aquafit,Drop-in schedule - swim and aquafit,
54,57,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
55,58,Skating,Drop-in schedule - skating,
56,58,Ice Sports,Drop-in schedule - ice sports,
57,59,Fall,Drop-in schedule - Fall,
58,60,Ice Sports,Drop-in schedule - ice sports,
59,60,Skating,Drop-in schedule - skating,
60,62,Swim And Aquafit,Drop-in schedules - swim and aquafit,
61,62,Weight And Cardio Room,Drop-in schedules - weight and cardio room,
62,62,Group Fitness,Drop-in schedules - group fitness,
63,63,Drop-In Activities,Drop-in activities,
64,68,Roller Sports,Drop-in schedule - roller sports,
65,71,Ice Sports,Drop-in schedule - ice sports,
66,71,Skating,Drop-in schedule - skating,
67,72,Swimming,Drop-in schedule - swimming,
68,72,Racquet Sports,Drop-in schedule - racquet sports,
69,72,Sports,Drop-in schedule - sports,
70,74,Ice Sports,Drop-in schedule - ice sports,
71,74,Skating,Drop-in schedule - skating,
72,76,Ice Sports,Drop-in schedule - ice sports,
73,76,Skating,Drop-in schedule - skating,
74,78,Skating,Drop-in schedule - skating,
75,78,Ice Sports,Drop-in schedule - ice sports,
76,80,Swim And Aquafit,Drop-in schedule - swim and aquafit,
77,80,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
78,80,Group Fitness,Drop-in schedule - group fitness,
79,80,Racquet Sports,Drop-in schedule - racquet sports,
80,80,Sports,Drop-in schedule - sports,
81,80,Skating,Drop-in schedule - skating,
82,84,Drop-In Activities,Drop-in activities,
83,85,Swim And Aquafit,Drop-in schedule - swim and aquafit,
84,85,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
85,85,Group Fitness,Drop-in schedule - group fitness,
86,85,Racquet Sports,Drop-in schedule - racquet sports,
87,85,Sports,Drop-in schedule - sports,
88,85,Skating,Drop-in schedule - skating,
89,85,Curling,Drop-in schedule - curling,
90,88,Skating,Drop-in schedule - skating,
91,88,Ice Sports,Drop-in schedule - ice sports,
92,90,Racquet Sports,Drop-in schedule - racquet sports,
93,92,Swim And Aquafit,Drop-in schedule - swim and aquafit,
